ID,Contract Number,Program Area,Award Year,Project Title,Organization Name,Project Description,Awarded Amount,Pledged Match Amount,Seattle Electoral District,Neighborhood District
S16092,S16092,NMF Small and Simple,2016,Somali Intergenerational Communication Workshops,Somali Family Safety Task Force,"This project will have Intergenerational Communications Workshops that will enhance bonding between Somali teens and their mothers with the goal to strengthen relationships and foster community building in a supportive environment. Attendees of the workshops, will participate in a series of 4 workshops designed to explore relationships, promote opportunities to create positive interactions, facilitate communication skill building and peer mentoring.",25000,18910,District 2,Southeast
S16032,S16032,NMF Small and Simple,2016,White Deer Crossing,Seattle Indian Health Board,"This project consist of painting a crosswalk and utility box on Boren Ave and Howell St.  The crosswalk artwork will convey a story of learning, healing, and peacekeeping.",25000,25000,Citywide,Citywide
S16019,S16019,NMF Small and Simple,2016,John Hay Elementary School Design Process,John Hay Foundation,"The John Hay Foundation will lead a community engagement process to design needed improvements to the public playground and public play field areas of John Hay Elementary School located at 201 Garfield St.  This project will include three public meetings and additional outreach efforts to gather community input.  Meetings and other outreach activities will take place primarily in the spring, fall, and winter of 2016. All project activities will be closely coordinated with Seattle Public Schools.",25000,13855,District 7,Magnolia / Queen Anne
S16039,S16039,NMF Small and Simple,2016,Beacon Hill Survey RSJ Inclusion Project,North Beacon Hill Council,"North Beacon Hill Council and partner organizations are developing an online survey to poll residents regarding: a) the proposal to double the Beacon Hill urban village size in the Seattle 2035 Comprehensive Plan Update, and b) the continued commitment to the 2010 Neighborhood Plan goals and c) other local issues.  This award will fund translation, distribution and associated events to reach the 44% foreign born population who are non-English or limited English speaking.",13123,14112,District 2,Greater Duwamish
S16027,S16027,NMF Small and Simple,2016,The Brighton Community Design Project,Southeast Seattle Senior Foundation,"The Brighton Community Design Project at the Brighton Apartments in Southeast Seattle will lead residents, staff, board members, neighbors, and community partners through a dynamic process to imagine, design, and select a long-term capital improvement plan for the exterior, publicly accessible, community spaces on the property.",19445,9960,District 2,Southeast
S16106,S16106,NMF Small and Simple,2016,"Outreach, Planning and Design of Beacon Hill Hub",Beacon Hill Hub,"Phase 1 of the Beacon Hill Hub Project includes outreach, community engagement and planning to solicit input that will guide final programming and  design of the Beacon Hill Hub building. The outreach plan includes four charrettes that will focus on developing a multiservice venue whose design and programming will be unique for people of color on South Beacon Hill.",13000,40502,District 2,Greater Duwamish
S16020,S16020,NMF Small and Simple,2016,Strengthening Somali Community Health Outcomes,Somali Health Board,"The Somali Health Board will work with a Community-Based Participatory Research consultant to survey the Somali community in Seattle about health priorities and prepare a report with draft implementation plan. The goal is to produce a culturally appropriate mental health program. An MPH student will be hired to assist with the community research. Focus groups, community roundtables, and health forums will be held at the New Holly campus.",13200,32632,Citywide,Citywide
S16002,S16002,NMF Small and Simple,2016,Playground Surface Painting and Enhancements,Maple Elementary PTSA,"Maple Elementary located at 4925 Corson Avenue S. it is a public school located in the Beacon Hill neighborhood. The goal of this project is to improve and enhance the school playground. These improvements will provide more opportunities for play, physical activities, outdoor learning, and community building for the school and the surrounding neighborhoods.",6000,6600,District 2,Greater Duwamish
S16022,S16022,NMF Small and Simple,2016,Made in Yesler: Open House and STE(A)M Fair,Big-Brained Superheroes Club,"This project is designed to expand and improve the ongoing activities of the BBSC. Big Brains will welcome and host at least 60 Yesler residents in the activity space and introduce at least 30 community members to a series of STE(A)M concepts and activities. In addition 10 Big Brains will facilitate these learning expeditions and/or show off their own projects, documenting through participation data, and  photos and videos.",5100,5200,District 2,Central
S16109,S16109,NMF Small and Simple,2016,BF Day School Playground Improvements - Phase 2,BF Day PTSA,"In Phase 2 of playground improvements, BF Day PTSA will replace aging circa-1989 play equipment at BF Day Elementary School (3921 Linden Ave. N.) with a new play area geared towards preschoolers and younger elementary students (K-2 grades) and neighborhood children. A grand opening is planned for September 2017.",25000,37550,District 6,Lake Union
S16075,S16075,NMF Small and Simple,2016,Volunteer Park Amphitheater Schematic Design,Volunteer Park Trust,This project begins phase III of the Volunteer Park Amphitheater Project. It will create a  preliminary schematic design for a new performance stage based on our phase I feasibility study and phase II concept designs.,25000,61350,District 3,East
S16088,S16088,NMF Small and Simple,2016,Celebrating Hispanic & Latino Cultural Heritage,Friends of the Ballard Civic Orchestra,"The Friends of Ballard Civic Orchestra will host a series of orchestral activities to celebrate Latino and Hispanic cultural heritage. It will consist of 32 rehearsals and 3 concerts held from January through December 2017. They will be held at the Sunset Hill Community Center at 3003 NW 66th St, Casa Latina at 317 17th Ave S and other locations in Seattle. There will be free instructional workshops for beginning musicians in neighborhoods with limited access to classical music experiences.",25000,18360,Citywide,Citywide
S16009,S16009,NMF Small and Simple,2016,Water for Gilman Gardens,Friends of Gilman Gardens,"This project located at 2312 Gilman Drive W. will provide running water on site to the Gilman Gardens community garden. This will allow the community participants the opportunity to keep up with the watering necessary to keep plants healthy and to fully realize the potential of their garden plots, and the growing of their own food.",4249,4400,District 7,Magnolia / Queen Anne
S16086,S16086,NMF Small and Simple,2016,Hillman City P-Patch Accessible Paths and Planning,Hillman City P-Patch,"The Hillman City P-Patch garden community will  reclaim the accessible gravel paths and develop an accessible gardening area at the site.    The project  also includes an update to their 2010 visioning plan and the initiation of a monthly series of events designed to engage the gardeners, neighbors and partner organizations.",14500,14725,District 2,Southeast
S16097,S16097,NMF Small and Simple,2016,Van Lang Vietnamese and English Language Workshops,Van Lang,Van Lang will organize a series of free workshops for youth and adults to learn about various aspects of Vietnamese culture.  The workshops will also offer Vietnamese and English language instruction. They will be held at Chief Sealth International High School located at 2600 SW Thistle St during non-school hours.  They will take place during the spring and summer of 2017.,25000,32960,District 1,Delridge
S16079,S16079,NMF Small and Simple,2016,Landscape Design for Fauntleroy Substation Park,Fauntleroy Watershed Council,The Fauntleroy Watershed Council will lead a community design effort for the Former Fauntleroy Substation property located at 4520 SW Brace Point Drive. A designer will create a preliminary concept plan for the site based on community input.  Community engagement and design activities will take place in the fall of 2016.  All project activities will be coordinated with property owner Seattle City Light.,4000,2250,District 1,Southwest
S16068,S16068,NMF Small and Simple,2016,Historic Central District Documentary,Multimedia Resources Training Institute,Multimedia Resources Training Institute (MMRTI) will organize a series of free youth workshops on photography and photojournalism during the winter of 2016.  They will be held at 2301 S. Jackson St.  Youth participants will explore the identity of the Central District.  They will work with instructors to create a one hour documentary and a collection of portraits.  There will be three public events to showcase the film and portraits to be held in the Central District in the spring of 2017.,20000,10700,District 3,Central
S16028,S16028,NMF Small and Simple,2016,"STEM Technology, Video and Computer Camp",Friends of STEM Technology,"A total of 60 youth will attend a Science Technology Engineering and Math summer camp where they will have two opportunities to enhance their video skills. They will learn the technical design process all programmers use to create video games. They will also assist in creating, writing and producing a basic video that will be viewed in a public venue upon completion.  The camp will be offered on July 11-15, July 18-22, July 25-29 and August 1-5 at Garfield High School, 400 23rd Avenue.",24656,17000,Citywide,Citywide
S16047,S16047,NMF Small and Simple,2016,Mount Baker Hub Design Festival,Mount Baker Business District Association,"The Mount Baker Hub Business Association will produce a business district design festival event, with tactical urbanism installations, that work to promote the Mount Baker Hub business district and develop a sense of community and place around the Mount Baker Light Rail Station.",17575,19600,District 2,Southeast
S16110,S16110,NMF Small and Simple,2016,Finding Freeway Park,Freeway Park Association,"The Freeway Park Association (FPA) will hire a landscape architect and engage the community in a conversation about how connectivity, visibility and public safety at Freeway Park can be improved. Three community meetings will be held for downtown and First Hill residents and other park stakeholders that will result in conceptual design recommendations for future use by the City and FPA.",25000,31740,District 7,Downtown
S16025,S16025,NMF Small and Simple,2016,Citywide Skate Park Activation,Skate Like A Girl and Youth Employment Skateboarding (YES),"Skate Like a Girl will do a six-month project to recruit, train, and post ten adult volunteer stewards at skate parks throughout Seattle, including Hubbard Homestead, Ballard, Lower Woodland, Seattle Center, Jefferson, Judkins, Roxhill, and Delridge, during the summer of 2016. An orientation will connect stewards-in-training with Youth Employment Skateboarding (YES) teen volunteer skateboarders. A community celebration recognizing their service will be held in the fall.",24185,24810,Citywide,Citywide
S16041,S16041,NMF Small and Simple,2016,Nihonmachi Alley Revitalization,Friends of Japantown,"Revitalize and beautify Japantown's Nihonmachi Alley with public art, lighting, and programming opportunities.",25000,25500,District 2,Downtown
S16035,S16035,NMF Small and Simple,2016,Detective Cookie Chess Park - Planning and Design,Friends of Detective Cookie Chess Park,"This project located at the SW corner of Rainier Ave S and 51st Ave S is to plan and design an outdoor chess park, as a multi-functional community space. The space would honor the work and influence of Detective Denis `Cookie` Bouldin's decade-old chess club and its positive impact on the youth of South Seattle.",22436,17640,District 2,Southeast
S16094,S16094,NMF Small and Simple,2016,Fauntleroy Schoolhouse Centennial Celebration,Fauntleroy Centennial Committee,"The Fauntleroy Centennial Committee will be hosting a community event, `A Century of Serving the Community`, at the historic Fauntleroy Schoolhouse. The one day event will be free and open to the public it will include various activities for the community to participate. Archives will be displayed, a new flagpole will be erected, and there will be a mini carnival.",4000,4600,District 1,Southwest
S16026,S16026,NMF Small and Simple,2016,Ballard Neighborhood Parklet,Friends of Ballard Parklet,"Friends of Ballard Parklet will build the first public parklet in the Ballard neighborhood for all to enjoy. Our intent is to design, build & raise funds for the parklet with community and public support, including working with the Seattle Parks Foundation, Sustainable Ballard and other Ballard neighborhood organizations.",25000,32443,District 6,Ballard
S16113,S16113,NMF Small and Simple,2016,Duwamish Waterway Park Improvements Phase II,South Park Area Redevelopment Committee,"In Phase II, the South Park Area Redevelopment Committee (SPARC) will prepare construction documents and permits for Duwamish Waterway Park improvements. SPARC will continue to work with ELM Environments to facilitate a community engagement and design process.",25000,25995,District 1,Greater Duwamish
S16023,S16023,NMF Small and Simple,2016,Lake City Community Conversations Project,Lake City Future First,"Lake City Future First will organize a series of nine monthly Community Conversations as a pilot through the end of 2016 with the help of a Neighborhood Engagement Consultant. The conversations will be held at various Lake City venues in partnership with other organizations. Dedicated local outreach will be happen frequently by Lake City Future First to reach existing and new partners, especially under-represented voices.",25000,29750,District 5,North
S16111,S16111,NMF Small and Simple,2016,Delridge Grocery Coop Research Studies,Delridge Grocery Cooperative,The Delridge Grocery Coop (DGC) is in the planning & feasibility stage of opening a grocery coop in Delridge. This project will complete a market study to ascertain if there is a suitable market to sustain a grocery coop and to study if our business plan is viable for opening of the store.,25000,16170,District 1,Delridge
S16081,S16081,NMF Small and Simple,2016,Breast Cancer Awareness Weekend,Breast Cancer Awareness Steering Committee,"This free family friendly event will raise awareness of the importance of early detection in the fight against breast cancer, especially among women of color.   The two day event, October 22nd and 23rd at Franklin High School, 3013 South Mount Baker Boulevard, includes a basketball tournament showcasing breast cancer survivors, interactive displays, presentations by health care professionals, food, and music.",17000,21350,District 2,Southeast
S16118,S16118,NMF Small and Simple,2016,U District Alley Activation Project,U District Advocates,"The U District Advocates will organize the purchase and installation of bicycle corrals and counters for public use in the alleyway between University Way NE, 15th Ave NE, NE 42nd St, and NE 43rd St.  These improvements will increase the accessibility, safety, and functionality of this alleyway for the public.  Installation will take place in the spring of 2017.  A public celebration will be held in May to mark the project's completion.",7000,8450,District 4,Northeast
S16031,S16031,NMF Small and Simple,2016,We Are All Here,Path with Art,"Path With Art will bring Pioneer Square community members from across the socioeconomic spectrum, including those experiencing homelessness, together to create poetry and visual art. Public art making activities will begin in the spring of 2016 and proceed through the end of the year. The art will be publicly presented through a temporary summer installation in Occidental Park, a free exhibit at the New Foundation, and a free musical performance at Benaroya Hall.",25000,42200,District 7,Downtown
S16078,S16078,NMF Small and Simple,2016,The Neighborhood Exchange,Seattle Architecture Foundation,The Neighborhood Exchange is a series of events that share the impact of community coalitions shaping Seattle through community-based design projects. The series will connect community members throughout Seattle to each other and to community advocates from design professions.,13906,8244,Citywide,Citywide
S16033,S16033,NMF Small and Simple,2016,Hillman City Restorative Justice,Hillman City Restorative Justice Committee,"The Hillman City Restorative Justice Committee will organize 12 free monthly workshops about Restorative Justice.  Consultants and a youth steering committee will guide the workshop series.  They will be held at the Hillman City Collaboratory located at 5623 Rainier Ave S.  Neighbors, businesses, and youth will learn Restorative Justice practices that will help them resolve conflict and strengthen community relationships.",25000,18300,District 2,Southeast
B16009,B16009,NMF Large Projects Fund,2016,First Place Scholars Facility Improvement Project,The Friends of FirstPlace Scholars,"The Friends of First Place Scholars will make facility improvements and plan for more complex future repairs at the First Place School located at 172 20th Ave.  Facility improvements include roof repairs, addressing water leaks, replacing a water boiler device, restroom repairs, electrical work, and landscaping. Facility planning includes planning for HVAC airflow repairs and electrical needs.",100000,211793,District3,Central
B16003,B16003,NMF Large Projects Fund,2016,Mini Mart City Park Facility Construction,Mini Mart City Park,"Mini Mart City Park will renovate a former gas station in Georgetown into a pocket park, an arts center, and community gathering space. They will hire a general contractor via competitive bid with construction anticipated Nov. 2016 - Sept. 2017 and grand opening in Oct. 2017. They will host community meetings to provide project updates and develop programming once built. MMCP is committed to providing free public events and programs as part of programming for at least 5 years.",100000,294018,District2,Greater Duwamish
B16007,B16007,NMF Large Projects Fund,2016,Digital Storytelling in the International District,OneAmerica,This project will engage residents of Seattle's Chinatown International District in digital storytelling through classes that teach English language and digital literacy skills in a community-based setting. Participants will tell their personal immigration stories through digital media. A community celebration is also planned.,90781,100300,District2,Downtown
B16005,B16005,NMF Large Projects Fund,2016,East Howe Steps Plaza - Phase 1 Construction,Lake Union Neighbors,"This project will create a public open space plaza in existing street ROW, now used for private parking, and complete an important pedestrian corridor. 
The grant will fund completion of  construction documents, permits, and Phase 1 construction of  plaza.",100000,265010,District4,Lake Union
B16004,B16004,NMF Large Projects Fund,2016,Rainier Valley Radio/KVRU Capital Campaign,SouthEast Effective Development,"A professional studio will be built and equipped and  serve as a digital communications hub for SE Seattle and beyond. The finished space will include a broadcast studio, community production space, classroom for training, offices for volunteers and staff, engineer room and break-room.",100000,47345,District2,Southeast
B16001,B16001,NMF Large Projects Fund,2016,The Ubunya Project,206 Zulu,The Ubunya (Unity) Project will enable arts organizations in the Central District  to have free access to historic Washington Hall  to produce up to 8 free public events. An open  selection process will be used to identify  groups who's mission serves primarily people of color  who otherwise would not be able to afford to rent Washington Hall.,60000,19300,District3,Central
B16011,B16011,NMF Large Projects Fund,2016,Phase II Construction of the Beacon Food Forest,The Beacon Food Forest,"The Beacon Food Forest produces food for the neighborhood, provides educational programming and hosts gatherings and events.   This  Phase II expansion includes outdoor educational space, additional P Patch beds, compost bins, a tool shed and fruit tree guilds.  When completed it will double the capacity of the site.",99960,110450,District2,Greater Duwamish
S16096,S16096,NMF Small and Simple Projects Fund,2016,Community Conversations for Casa Latina's Future,Casa Latina,"Casa Latina will engage the community in a series of conversations to help determine how Casa Latina can best continue to serve Latino immigrants in the coming years. Working with a consultant, the group will organize a series of community stakeholder conversations during the spring of 2017.  They will be held at Casa Latina at 317 17th Ave S. A report will be developed from the conversations.  It will identify the priorities of the Latino immigrant community and ways to address these needs.",25000,17790,Citywide,Citywide
S16023,S16023,NMF Small and Simple Projects Fund,2016,Lake City Community Conversations Project,Lake City Future First,"Lake City Future First will organize a series of nine monthly Community Conversations as a pilot through the end of 2016 with the help of a Neighborhood Engagement Consultant. The conversations will be held at various Lake City venues in partnership with other organizations. Dedicated local outreach will be happen frequently by Lake City Future First to reach existing and new partners, especially under-represented voices.",25000,29750,District 5,North
S16033,S16033,NMF Small and Simple Projects Fund,2016,Hillman City Restorative Justice,Hillman City Restorative Justice Committee,"The Hillman City Restorative Justice Committee will organize 12 free monthly workshops about Restorative Justice.  Consultants and a youth steering committee will guide the workshop series.  They will be held at the Hillman City Collaboratory located at 5623 Rainier Ave S.  Neighbors, businesses, and youth will learn Restorative Justice practices that will help them resolve conflict and strengthen community relationships.",25000,18300,District 2,Southeast
S16007,S16007,NMF Small and Simple Projects Fund,2016,Concord Elementary Rain Gardens and Crosswalk,Concord International Elementary PTA,"Concord International Elementary PTA with the help of a landscape architect, will lead a community engagement process to update the conceptual design plan and prepare construction documents. Proposed improvements include the building of  rain and butterfly gardens and planting trees to create a safer entryway and improve community access to the playground.",18200,16213,District 1,Greater Duwamish
S16103,S16103,NMF Small and Simple Projects Fund,2016,International Women's Day,International Women's Day - 2017,"This celebration on Saturday, March 11, 2017 from 9 am to 4 pm at The Brockey Center at South Seattle Community College, 6000 - 16th Avenue SW, will be held in recognition of International Women's Day. Through story-telling, facilitated conversations, collaborative art and  dance,  participants will realize they are part of a caring and vibrant community of women.  This celebration is free and open to the public.",20000,12345,Citywide,Citywide
S16116,S16116,NMF Small and Simple Projects Fund,2016,Black History Month Cultural Celebration,Sundiata African American Cultural Association,"A three day festival at Langston Hughes  Performing Arts Center, 104 17th Avenue South, will be held February 10-12th of 2017 in celebration of  Black History month. An opening reception from 6-9 on the 10th will be followed by two days of programming from noon until 9:00 pm.  Offerings include art, music, food, photography, quilting, vendors and informative presentations and discussions on the contributions of African Americans in the United States.",25000,32240,Citywide,Citywide
S16106,S16106,NMF Small and Simple Projects Fund,2016,"Outreach, Planning and Design of Beacon Hill Hub",Beacon Hill Hub,"Phase 1 of the Beacon Hill Hub Project includes outreach, community engagement and planning to solicit input that will guide final programming and  design of the Beacon Hill Hub building. The outreach plan includes four charrettes that will focus on developing a multiservice venue whose design and programming will be unique for people of color on South Beacon Hill.",13000,40502,District 2,Greater Duwamish
S16108,S16108,NMF Small and Simple Projects Fund,2016,Social Revolution Through the Arts,Columbia City Theater Group,The Columbia City Theater Group will organize activities that engage high school aged youth in social justice and the arts.  The group will create and publish a graphic novel to be distributed for free.  They will host a social justice workshop at Langston Hughes Performing Arts Institute located at 104 17th Ave S.  They will also create a play that will be performed at Seattle Repertory Theater located at 155 Mercer St on May 12 &13.  All activities will be free and open to the public.,25000,40250,Citywide,Citywide
S16080,S16080,NMF Small and Simple Projects Fund,2016,Eastlake P-Patch New Garden Edging and Pathways,Eastlake P Patch,"Eastlake P Patch will widen paths and replace deteriorating wooden garden infrastructure at the P Patch (2900 Fairview Ave E) in the fall of 2016 and spring of 2017. Work will be done by community volunteers under the guidance of volunteers donating their professional expertise in construction management. Improvements will be vetted with the garden community at three community meetings, as well as via email, phone, and posting of information and surveys at the garden.",23190,26470,District 4,Lake Union
S16006,S16006,NMF Small and Simple Projects Fund,2016,Olympic Hills Pocket Park,Lake City Greenways Project,Develop 60% construction drawings for a new pocket park in the Olympic Hills neighborhood of Lake City.,25000,15713,District 5,North
S16025,S16025,NMF Small and Simple Projects Fund,2016,Citywide Skate Park Activation,Skate Like A Girl and Youth Employment Skateboarding (YES),"Skate Like a Girl will do a six-month project to recruit, train, and post ten adult volunteer stewards at skate parks throughout Seattle, including Hubbard Homestead, Ballard, Lower Woodland, Seattle Center, Jefferson, Judkins, Roxhill, and Delridge, during the summer of 2016. An orientation will connect stewards-in-training with Youth Employment Skateboarding (YES) teen volunteer skateboarders. A community celebration recognizing their service will be held in the fall.",24185,24810,Citywide,Citywide
S16078,S16078,NMF Small and Simple Projects Fund,2016,The Neighborhood Exchange,Seattle Architecture Foundation,The Neighborhood Exchange is a series of events that share the impact of community coalitions shaping Seattle through community-based design projects. The series will connect community members throughout Seattle to each other and to community advocates from design professions.,13906,8244,Citywide,Citywide
S16027,S16027,NMF Small and Simple Projects Fund,2016,The Brighton Community Design Project,Southeast Seattle Senior Foundation,"The Brighton Community Design Project at the Brighton Apartments in Southeast Seattle will lead residents, staff, board members, neighbors, and community partners through a dynamic process to imagine, design, and select a long-term capital improvement plan for the exterior, publicly accessible, community spaces on the property.",19445,9960,District 2,Southeast
S16011,S16011,NMF Small and Simple Projects Fund,2016,Bergen Place Park Midday Music,Bergen Place Activation Committee,"The Bergen Place Activation Committee will produce a free, summer, lunchtime concert series in Bergen Place Park, in the heart of Ballard's business district. By providing a weekly program of music and cultural performances, this event series will bring together the local community.",20400,11876,District 6,Ballard
S16047,S16047,NMF Small and Simple Projects Fund,2016,Mount Baker Hub Design Festival,Mount Baker Business District Association,"The Mount Baker Hub Business Association will produce a business district design festival event, with tactical urbanism installations, that work to promote the Mount Baker Hub business district and develop a sense of community and place around the Mount Baker Light Rail Station.",17575,19600,District 2,Southeast
S16076,S16076,NMF Small and Simple Projects Fund,2016,Orca Playground Additions and Rain Garden Art and Signs,Project Orca Playground,"Project Orca Playground will install additional play equipment and plants, art, and signs in the playground and rain garden at Orca K-8 School, 5215 46th Ave S. The new play equipment will benefit neighborhood children and families. Rain garden plantings and interpretive signs will provide environmental education for the community. Community input will be gathered at meetings and via flyers, posters, and social media.",25000,26000,District 2,Southeast
S16113,S16113,NMF Small and Simple Projects Fund,2016,Duwamish Waterway Park Improvements Phase II,South Park Area Redevelopment Committee,"In Phase II, the South Park Area Redevelopment Committee (SPARC) will prepare construction documents and permits for Duwamish Waterway Park improvements. SPARC will continue to work with ELM Environments to facilitate a community engagement and design process.",25000,25995,District 1,Greater Duwamish
S16001,S16001,NMF Small and Simple Projects Fund,2016,Columbia City BeatWalk Youth Initiative,Columbia City Business Association,"This project will fund the Youth Initiative portion of the Columbia City BeatWalk. The Youth Initiative recruits approximately 60 youth performers, provides them professional mentoring, and offers them venues at Columbia City businesses for live performance at five BeatWalks June through October.",19000,11700,District 2,Southeast
S16098,S16098,NMF Small and Simple Projects Fund,2016,Utility Box Project,Sanctuary Art Center,"This project aims to build community through the artistic transformation of the utility boxes in the University District right of way. With the addition of art, the boxes will go from ordinary utility boxes that obstruct the sidewalk, to community assets that contribute to both placemaking and wayfinding value.",25000,26420,District 4,Northeast
S16057,S16057,NMF Small and Simple Projects Fund,2016,Jimi Hendrix Park Grand Opening Celebration,Friends of Jimi Hendrix Park Committee,"A day long community celebration  will be held during the summer of 2017 to showcase the  grand opening of Jimi Hendrix Park, located at 2400 S. Massachusetts Street. This free public event will include speakers, a musical concert, food trucks and activities for all ages.",24413,28733,District 3,Central
S16097,S16097,NMF Small and Simple Projects Fund,2016,Van Lang Vietnamese and English Language Workshops,Van Lang,Van Lang will organize a series of free workshops for youth and adults to learn about various aspects of Vietnamese culture.  The workshops will also offer Vietnamese and English language instruction. They will be held at Chief Sealth International High School located at 2600 SW Thistle St during non-school hours.  They will take place during the spring and summer of 2017.,25000,32960,District 1,Delridge
S16013,S16013,NMF Small and Simple Projects Fund,2016,Branding Study - Market to MOHAI,Friends of Market to MOHAI Corridor,"Friends of Market to MOHAI Corridor will lead a community input process to develop design standards for a pedestrian corridor from the waterfront to Lake Union along Bell Street and Terry Avenue - the 'Market to MOHAI' corridor. Landscape architectural services will be used. Promenade elements for design will include a logo, sidewalk markers, pedestrian lighting, way-finding signs, and street furniture. This corridor will connect several neighborhoods and parks.",25000,73290,District 7,Lake Union
S16048,S16048,NMF Small and Simple Projects Fund,2016,Wetmore Community Garden,Alleycat Acres,"The Wetmore Community Garden that is located on Wetmore Ave S and South Estelle St will transform a neglected quarter acre lot of a SDOT ROW into a space providing neighbors a safe, clean environment to gather, and grow food. The garden will increase food security in the area through education and volunteerism, encouraging community members to grow their own food. Produce will be donated to the Rainier Valley Food Bank that will serve individuals unable to directly participate in the garden.",25000,28405,District 2,Southeast
S16117,S16117,NMF Small and Simple Projects Fund,2016,Indigenous Placemaking: Dance Communities Circles,World Kulturz dba Native Kulturz Group,"World Kulturz will organize a six-event series of dance workshops and performances featuring the Contra, Metis jig, Native Powwow and Coastal dance communities. Two workshops will offer interactive dance style teachings at XX Festival at Victor Steinbrueck ParkWHEN. Additional performances will be in the Indigenouz PlaceMakerz Powwow, Coastal Day, and Seafair Torchlight Parade unit during Seafair in August 2017. A public mini-dance-showcase will be held at Seattle Center in fall 2017.",25000,20850,Citywide,Citywide
S16062,S16062,NMF Small and Simple Projects Fund,2016,Latinos con Voz y Voto,Circulo de Mamas Seattle,"The Circulo de Mamas Seattle will organize Latinos con Voz y Voto, in which candidates forums and voter registration events will be held in public locations to be determined in South Park.  All activities and materials will be non-partisan. The events will be held during the fall of 2016.",5000,17000,District 1,Greater Duwamish
S16010,S16010,NMF Small and Simple Projects Fund,2016,Yesler Terrace Reunion,Friends of Yesler Terrace,"Former and current Yesler Terrace residents will reunite to share their collective stories as Yesler Terrace undergoes a major transformation.  The project includes a reunion celebration on August 20,2016 at the Yesler Community Center, a series of community conversations capturing the history and relevancy of the Yesler Terrace community and creation of a scrapbook of stories and pictures.",8348,6700,District 3,East
S16088,S16088,NMF Small and Simple Projects Fund,2016,Celebrating Hispanic & Latino Cultural Heritage,Friends of the Ballard Civic Orchestra,"The Friends of Ballard Civic Orchestra will host a series of orchestral activities to celebrate Latino and Hispanic cultural heritage. It will consist of 32 rehearsals and 3 concerts held from January through December 2017. They will be held at the Sunset Hill Community Center at 3003 NW 66th St, Casa Latina at 317 17th Ave S and other locations in Seattle. There will be free instructional workshops for beginning musicians in neighborhoods with limited access to classical music experiences.",25000,18360,Citywide,Citywide
S16091,S16091,NMF Small and Simple Projects Fund,2016,Queer Resurgence on Capitol Hill Poetry Festival,Seattle Poetry Slam,"Seattle Poetry Slam will host an all-ages three-day celebration of LGBTQ arts and community on January 22-24, 2017, at Capitol Hill venues. `The Queer Resurgence on Capitol Hill Poetry Festival` will include panel discussions, workshops, and a poetry slam competition. Seattle Poetry Slam will partner with organizations such as Seattle Spit, Gay City, Entre Hermanos, Peace for the Streets for Kids on the Streets, and the Orion Center. All events will be free and open to the public.",15000,7600,District 3,Central
S16079,S16079,NMF Small and Simple Projects Fund,2016,Landscape Design for Fauntleroy Substation Park,Fauntleroy Watershed Council,The Fauntleroy Watershed Council will lead a community design effort for the Former Fauntleroy Substation property located at 4520 SW Brace Point Drive. A designer will create a preliminary concept plan for the site based on community input.  Community engagement and design activities will take place in the fall of 2016.  All project activities will be coordinated with property owner Seattle City Light.,4000,2250,District 1,Southwest
S16109,S16109,NMF Small and Simple Projects Fund,2016,BF Day School Playground Improvements - Phase 2,BF Day PTSA,"In Phase 2 of playground improvements, BF Day PTSA will replace aging circa-1989 play equipment at BF Day Elementary School (3921 Linden Ave. N.) with a new play area geared towards preschoolers and younger elementary students (K-2 grades) and neighborhood children. A grand opening is planned for September 2017.",25000,37550,District 6,Lake Union
S16037,S16037,NMF Small and Simple Projects Fund,2016,"Lake City Fred Meyer Garden Design, Phase II",Friends of the Lake City Fred Meyer Garden Project,"In Phase II, Friends of the Lake City Fred Meyer Garden Project will develop schematic design and construction drawings based on the conceptual design derived from the community outreach in Phase I. A lease agreement with Fred Meyer will be developed. Friends of the Lake City Fred Meyer Garden Project will also continue work on fundraising, business outreach, artist engagement, materials donation, and a robust public engagement process during Phase II.",25000,15281,District 5,North
S16059,S16059,NMF Small and Simple Projects Fund,2016,7th Avenue & Westlake Avenue Crosswalk Improvement,Downtown Seattle Association,"This project will improve the crosswalks at the intersection of 7th Avenue and Westlake Avenue with a community driven, SDOT approved colorful design through the SDOT Community Crosswalks program.",25000,77225,District 7,Downtown
S16073,S16073,NMF Small and Simple Projects Fund,2016,Rainier Beach Streatery at Jude's Old Town,Friends of a Rainier Beach Streatery at Jude's,"Friends of a Rainier Beach Streatery at Jude's will construct Rainier Beach's first streatery this fall in the public right-of-way in front of Jude's Old Town neighborhood bar. With a bicycle and edible garden theme, the streatery will be a point of pride and identification for the neighborhood and engage the bicycling community, especially riders along the Lake Washington loop. It will also serve as a hub for youth-focused community events.",16300,26500,District 2,Southeast
S16075,S16075,NMF Small and Simple Projects Fund,2016,Volunteer Park Amphitheater Schematic Design,Volunteer Park Trust,This project begins phase III of the Volunteer Park Amphitheater Project. It will create a  preliminary schematic design for a new performance stage based on our phase I feasibility study and phase II concept designs.,25000,61350,District 3,East
S16112,S16112,NMF Small and Simple Projects Fund,2016,The Sugar Project,La Sala,"La Sala will organize a community engagement and social change art project about the issue of women as a commodity in our culture. It will consist of free community art-making events held during the winter of 2016 at various locations throughout Seattle.  There will be a free art exhibition at Oxbow located at 6118 12th Ave S featuring the community-generated art.  The project will build community, engage creativity, create partnerships, and illuminate a diversity cultural perspectives.",14000,15400,Citywide,Citywide
